work_title,piece.piece_id,piece__title,voice_id,order,original_name,regularized_name,CRIM_Obs_Name
Missa Confitemini,CRIM_Mass_0001_1,Kyrie,CRIM_Mass_0001_1(1),1,[Superius],Superius,Superius
Missa Confitemini,CRIM_Mass_0001_1,Kyrie,CRIM_Mass_0001_1(2),2,[Contratenor],Contratenor,Contratenor
Missa Confitemini,CRIM_Mass_0001_1,Kyrie,CRIM_Mass_0001_1(3),3,[Tenor],Tenor,Tenor
Missa Confitemini,CRIM_Mass_0001_1,Kyrie,CRIM_Mass_0001_1(4),4,[Bassus],Bassus,Bassus
Missa Confitemini,CRIM_Mass_0001_2,Gloria,CRIM_Mass_0001_2(1),1,[Superius],Superius,Superius
Missa Confitemini,CRIM_Mass_0001_2,Gloria,CRIM_Mass_0001_2(2),2,[Contratenor],Contratenor,Contratenor
Missa Confitemini,CRIM_Mass_0001_2,Gloria,CRIM_Mass_0001_2(3),3,[Tenor],Tenor,Tenor
Missa Confitemini,CRIM_Mass_0001_2,Gloria,CRIM_Mass_0001_2(4),4,[Bassus],Bassus,Bassus
Missa Confitemini,CRIM_Mass_0001_3,Credo,CRIM_Mass_0001_3(1),1,[Superius],Superius,Superius
Missa Confitemini,CRIM_Mass_0001_3,Credo,CRIM_Mass_0001_3(2),2,[Contratenor],Contratenor,Contratenor
Missa Confitemini,CRIM_Mass_0001_3,Credo,CRIM_Mass_0001_3(3),3,[Tenor],Tenor,Tenor
Missa Confitemini,CRIM_Mass_0001_3,Credo,CRIM_Mass_0001_3(4),4,[Bassus],Bassus,Bassus
Missa Confitemini,CRIM_Mass_0001_4,Sanctus,CRIM_Mass_0001_4(1),1,[Superius],Superius,Superius
Missa Confitemini,CRIM_Mass_0001_4,Sanctus,CRIM_Mass_0001_4(2),2,[Contratenor],Contratenor,Contratenor
Missa Confitemini,CRIM_Mass_0001_4,Sanctus,CRIM_Mass_0001_4(3),3,[Tenor],Tenor,Tenor
Missa Confitemini,CRIM_Mass_0001_4,Sanctus,CRIM_Mass_0001_4(4),4,[Bassus],Bassus,Bassus
Missa Confitemini,CRIM_Mass_0001_5,Agnus Dei,CRIM_Mass_0001_5(1),1,[Superius],Superius,Superius
Missa Confitemini,CRIM_Mass_0001_5,Agnus Dei,CRIM_Mass_0001_5(2),2,[Contratenor],Contratenor,Contratenor
Missa Confitemini,CRIM_Mass_0001_5,Agnus Dei,CRIM_Mass_0001_5(3),3,[Tenor],Tenor,Tenor
Missa Confitemini,CRIM_Mass_0001_5,Agnus Dei,CRIM_Mass_0001_5(4),4,[Bassus],Bassus,Bassus
Missa Vidi speciosam,CRIM_Mass_0002_1,Kyrie,CRIM_Mass_0002_1(1),1,[Superius],Superius,[Superius]
Missa Vidi speciosam,CRIM_Mass_0002_1,Kyrie,CRIM_Mass_0002_1(2),2,[Contratenor],Contratenor,[Contratenor]
Missa Vidi speciosam,CRIM_Mass_0002_1,Kyrie,CRIM_Mass_0002_1(3),3,I. Tenor,Tenor 1,I.Tenor
Missa Vidi speciosam,CRIM_Mass_0002_1,Kyrie,CRIM_Mass_0002_1(4),4,[II. Tenor],Tenor 2,[II.Tenor]
Missa Vidi speciosam,CRIM_Mass_0002_1,Kyrie,CRIM_Mass_0002_1(5),5,[Bassus],Bassus,[Bassus]
Missa Vidi speciosam,CRIM_Mass_0002_2,Gloria,CRIM_Mass_0002_2(1),1,[Superius],Superius,[Superius]
Missa Vidi speciosam,CRIM_Mass_0002_2,Gloria,CRIM_Mass_0002_2(2),2,[Contratenor],Contratenor,[Contratenor]
Missa Vidi speciosam,CRIM_Mass_0002_2,Gloria,CRIM_Mass_0002_2(3),3,I. Tenor,Tenor 1,I.Tenor
Missa Vidi speciosam,CRIM_Mass_0002_2,Gloria,CRIM_Mass_0002_2(4),4,[II. Tenor],Tenor 2,[II.Tenor]
Missa Vidi speciosam,CRIM_Mass_0002_2,Gloria,CRIM_Mass_0002_2(5),5,[Bassus],Bassus,[Bassus]
